Tool,Type,Topic,Language,Input,Format input,Output,Format output,Design,Build,Test,Learn,Country/Node,Sequence (i),Protein structure (o),In_DBTL_Cycle,DB,DT,DL,BT,BL,TL,DBT,DBL,DTL,BTL,DBTL
JAMDA,"Command-line tool, Web service","Molecular modelling, Protein interactions, Bioinformatics, Drug discovery, Protein binding sites, Structure prediction",,"Protein structure, Protein-ligand complex, UniProt accession, Small molecule structure","PDB, SDF, SMILES, InChI, Mol2","Protein structure report, Protein-ligand complex, Score, Small molecule structure, Protein structure, Root-mean-square deviation","CSV, PDB, SDF",1,0,0,1,Germany,0,1,1,0,0,1,0,0,0,0,0,0,0,0
DoGSite3,"Web API, Command-line tool, Web service","Protein binding sites, Structure analysis, Drug discovery, Molecular modelling, Bioinformatics, Protein properties",,"Protein structure, Protein-ligand complex, UniProt accession, Small molecule structure","PDB, SDF","Protein features, Protein structure, Protein structure report, Map data","Textual format, PDB",1,0,0,1,Germany,0,1,1,0,0,1,0,0,0,0,0,0,0,0
DoGSiteScorer,"Web API, Web service","Protein binding sites, Machine learning, Protein structure analysis, Drug discovery, Molecular modelling, Bioinformatics, Protein properties",,"Protein structure, Protein-ligand complex, UniProt accession, Small molecule structure","PDB, SDF","Protein features, Protein structure, Protein structure report, Score, Map data","Textual format, PDB",1,0,0,1,Germany,0,1,1,0,0,1,0,0,0,0,0,0,0,0
QP-Insights Uploader,Desktop application,"Medical imaging, Data integration and warehousing",Python,"Raw image, Data index report","DICOM format, rcc, xls",,,0,0,0,0,Quibim,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xgt,,,,,,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DICOM-SEG Annotation,"Desktop application, Command-line tool",Data quality management,Python,,,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JCVI,"Command-line tool, Library","Sequence assembly, Mapping",Python,,,,,0,1,0,0,"Haibao Tang, Xingtan Zhang",0,0,1,0,0,0,0,0,0,0,0,0,0,0
PoseEdit,"Web API, Web service","Protein interactions, Data visualisation, Molecular interactions, pathways and networks, Bioinformatics, Drug discovery, Protein structure analysis, Protein binding sites",,"Protein structure, Protein-ligand complex, Small molecule structure","PDB, SDF","Protein-ligand interaction report, Protein structure image, Chemical structure image, Protein interaction data","JSON, Textual format, SVG",0,0,1,1,Germany,0,1,1,0,0,0,0,0,1,0,0,0,0,0
METALizer,"Web API, Web service","Protein interactions, Protein binding sites, Sequence sites, features and motifs, Protein structure analysis, Drug discovery, Data mining, Bioinformatics, Data visualisation, Molecular interactions, pathways and networks, Protein properties",,"Protein structure, Protein-ligand complex, Small molecule structure","PDB, SDF","Protein interaction data, Score, Root-mean-square deviation, Protein structure report",Textual format,1,0,1,1,Germany,0,1,1,0,1,1,0,0,1,0,0,1,0,0
Data Integration Quality Check Tool (DIQCT),"Suite, Desktop application",Data quality management,"Python, R",,,,,0,0,0,0,Ioanna Chouvarda,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Image Duplicates Checker,Command-line tool,Data quality management,Python,,,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gc_derivatization,"Library, Command-line tool",Metabolomics,Python,,,,,0,0,1,0,"Wudimir Rojas, Helge Hecht, RECETOX MUNI",0,0,1,0,0,0,0,0,0,0,0,0,0,0
minigraph,Command-line tool,"Genomics, Mapping","C, JavaScript",,,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
snpfreq,Script,"Genetic variation, Statistics and probability",Perl,Count matrix,Textual format,Count matrix,Textual format,0,0,0,1,,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SNP-sites,Command-line tool,"Genomics, DNA polymorphism",C,Nucleic acid sequence alignment,"Relaxed PHYLIP Sequential, FASTA-aln, VCF",Nucleic acid sequence alignment,"Relaxed PHYLIP Sequential, FASTA-aln, VCF",0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NanoporeDB,,Computational biology,,,,,,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0
NP-Likeness,Command-line tool,Small molecules,Java,,,,,1,0,0,0,"Kalai Vanii Jayaseelan, Andreas Truszkowski, Pablo Moreno, Peter Ertl, Christoph Steinbeck",0,0,1,0,0,0,0,0,0,0,0,0,0,0
generate_count_matrix,,Transcriptomics,Python,Gene expression profile,,Count matrix,,0,0,1,0,Jessica Chung,0,0,1,0,0,0,0,0,0,0,0,0,0,0
nanosv,Command-line tool,"Structural genomics, Long-read sequencing",Python,Nucleic acid sequence alignment,BAM,Sequence variations,VCF,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
s3segmenter,Script,Bioimaging,MATLAB,"Image, Map data",OME-TIFF,Map data,TIFF,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
